Date,Open,High,Low,Close,Volume,Symbol
,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN,
2025-01-02,132608.703125,132782.609375,130521.7421875,132173.90625,7119420,FPT
2025-01-03,131565.21875,131565.21875,129565.21875,129565.21875,7413019,FPT
2025-01-06,129652.171875,130608.6953125,129043.4765625,129826.0859375,3987169,FPT
2025-01-07,130000.0,131565.21875,130000.0,130521.7421875,4661299,FPT
2025-01-08,130434.78125,130434.78125,128782.609375,128956.5234375,4461887,FPT
2025-01-09,128956.5234375,129739.1328125,128695.6484375,129391.3046875,2259060,FPT
2025-01-10,129391.3046875,129652.171875,128000.0,128086.953125,3148358,FPT
2025-01-13,127043.4765625,129130.4375,125826.0859375,128347.828125,5930212,FPT
2025-01-14,128347.828125,128695.6484375,126173.9140625,126173.9140625,4950178,FPT
2025-01-15,126956.5234375,127391.3046875,125913.046875,126521.7421875,3968423,FPT
2025-01-16,127130.4375,127826.0859375,126260.8671875,127391.3046875,4435208,FPT
2025-01-17,127478.2578125,130521.7421875,126956.5234375,129565.21875,4485004,FPT
2025-01-20,129565.21875,130782.609375,128869.5625,130434.78125,2642367,FPT
2025-01-21,130869.5625,131652.171875,129565.21875,130347.828125,3997171,FPT
2025-01-22,130086.953125,130956.5234375,129739.1328125,130173.9140625,4676591,FPT
2025-01-23,130521.7421875,135652.171875,130434.78125,134173.90625,9727965,FPT
2025-01-24,134000.0,134347.828125,133391.296875,133391.296875,4543311,FPT
2025-02-03,128695.6484375,129739.1328125,126347.828125,126521.7421875,14792679,FPT
2025-02-04,126956.5234375,127826.0859375,126347.828125,127130.4375,8338304,FPT
2025-02-05,127739.1328125,128260.8671875,126782.609375,127217.390625,6145714,FPT
2025-02-06,127826.0859375,128086.953125,126608.6953125,127391.3046875,4283290,FPT
2025-02-07,127391.3046875,127565.21875,126782.609375,127043.4765625,5020784,FPT
2025-02-10,126521.7421875,126521.7421875,123478.2578125,123478.2578125,8912039,FPT
2025-02-11,123652.171875,126434.78125,121826.0859375,126434.78125,8465609,FPT
2025-02-12,126608.6953125,126695.6484375,125478.2578125,126086.953125,2340767,FPT
2025-02-13,126086.953125,126086.953125,124086.953125,124434.78125,3735314,FPT
2025-02-14,125217.390625,126086.953125,124869.5625,126000.0,3739464,FPT
2025-02-17,126086.953125,126086.953125,124695.6484375,124869.5625,3238744,FPT
2025-02-18,125043.4765625,125565.21875,124434.78125,125130.4375,1913714,FPT
2025-02-19,125130.4375,126000.0,124434.78125,125217.390625,3990271,FPT
2025-02-20,125391.3046875,125739.1328125,124347.828125,124347.828125,3893209,FPT
2025-02-21,124173.9140625,124260.8671875,123043.4765625,123478.2578125,6132489,FPT
2025-02-24,123478.2578125,123478.2578125,121304.3515625,122173.9140625,8645586,FPT
2025-02-25,122086.953125,122086.953125,120173.9140625,120869.5625,8434559,FPT
2025-02-26,120956.5234375,123304.3515625,120782.609375,123304.3515625,4569524,FPT
2025-02-27,123478.2578125,123652.171875,122347.828125,122869.5625,4509954,FPT
2025-02-28,121826.0859375,122695.6484375,120869.5625,122000.0,7984679,FPT
2025-03-03,122173.9140625,122956.5234375,122000.0,122173.9140625,3373984,FPT
2025-03-04,121304.3515625,122260.8671875,121130.4375,121739.1328125,4628284,FPT
2025-03-05,121739.1328125,121826.0859375,120956.5234375,120956.5234375,3278764,FPT
2025-03-06,121304.3515625,124782.609375,121304.3515625,123130.4375,7487879,FPT
2025-03-07,123217.390625,124086.953125,122695.6484375,122956.5234375,3951399,FPT
2025-03-10,123043.4765625,123043.4765625,121043.4765625,121130.4375,6534069,FPT
2025-03-11,120000.0,120434.78125,119130.4375,119565.21875,7089059,FPT
2025-03-12,119739.1328125,120608.6953125,118173.9140625,118173.9140625,7319749,FPT
2025-03-13,118347.828125,120000.0,118347.828125,118695.6484375,4266729,FPT
2025-03-14,117913.046875,118521.7421875,113739.1328125,114260.8671875,18688649,FPT
2025-03-17,114434.78125,114869.5625,112695.6484375,113043.4765625,8766449,FPT
2025-03-18,113130.4375,114956.5234375,113043.4765625,113043.4765625,6472774,FPT
2025-03-19,113130.4375,113565.21875,107391.3046875,108347.828125,22154059,FPT
2025-03-20,108347.828125,110260.8671875,108260.8671875,108695.6484375,10014889,FPT
2025-03-21,108695.6484375,112173.9140625,108695.6484375,111304.3515625,7388519,FPT
2025-03-24,111739.1328125,112434.78125,110695.6484375,112173.9140625,5853729,FPT
2025-03-25,112869.5625,112956.5234375,110000.0,110000.0,6473579,FPT
2025-03-26,110000.0,110000.0,106695.6484375,106956.5234375,13132079,FPT
2025-03-27,106086.953125,110000.0,105304.3515625,109739.1328125,8308059,FPT
2025-03-28,109652.171875,109913.046875,107826.0859375,107826.0859375,3481049,FPT
2025-03-31,107304.3515625,107304.3515625,105217.390625,105217.390625,6347196,FPT
2025-04-01,106086.953125,106260.8671875,103304.3515625,104782.609375,9550436,FPT
2025-04-02,105391.3046875,106347.828125,105043.4765625,106086.953125,4508229,FPT
2025-04-03,99739.1328125,102260.8671875,98695.6484375,98695.6484375,13311134,FPT
2025-04-04,91826.0859375,99043.4765625,91826.0859375,98260.8671875,25126924,FPT
2025-04-08,92173.9140625,93913.046875,91391.3046875,91391.3046875,19078154,FPT
2025-04-09,85043.4765625,93913.046875,85043.4765625,91565.21875,21147694,FPT
2025-04-10,97913.046875,97913.046875,97913.046875,97913.046875,2346229,FPT
2025-04-11,101739.1328125,103043.4765625,99391.3046875,103043.4765625,22150724,FPT
2025-04-14,104347.828125,104347.828125,99130.4375,103043.4765625,10797694,FPT
2025-04-15,100956.5234375,101739.1328125,98869.5625,100869.5625,9026809,FPT
2025-04-16,99565.21875,100782.609375,93826.0859375,93826.0859375,21726029,FPT
2025-04-17,91304.3515625,96782.609375,91217.390625,95130.4375,13957779,FPT
2025-04-18,96086.953125,100000.0,96086.953125,97043.4765625,9697374,FPT
2025-04-21,97391.3046875,97826.0859375,95652.171875,97130.4375,5016644,FPT
2025-04-22,96521.7421875,96695.6484375,90434.78125,96000.0,11778644,FPT
2025-04-23,97130.4375,97130.4375,93652.171875,96000.0,8367169,FPT
2025-04-24,96956.5234375,98869.5625,96173.9140625,97391.3046875,9498884,FPT
2025-04-25,97391.3046875,97739.1328125,95826.0859375,97739.1328125,7721214,FPT
2025-04-28,97391.3046875,97739.1328125,94956.5234375,95217.390625,4744899,FPT
2025-04-29,95304.3515625,96086.953125,94869.5625,95130.4375,7141384,FPT
2025-05-05,95217.390625,95391.3046875,92956.5234375,94434.78125,8785524,FPT
2025-05-06,94434.78125,96521.7421875,94434.78125,95391.3046875,7756871,FPT
2025-05-07,95304.3515625,96695.6484375,94695.6484375,95391.3046875,5050301,FPT
2025-05-08,96000.0,99652.171875,94782.609375,99391.3046875,15656099,FPT
2025-05-09,99391.3046875,101217.390625,98695.6484375,100869.5625,10149323,FPT
2025-05-12,101739.1328125,103217.390625,101478.2578125,102869.5625,10533996,FPT
2025-05-13,104347.828125,104608.6953125,103130.4375,103913.046875,11830797,FPT
2025-05-14,104347.828125,109826.0859375,104347.828125,109826.0859375,15266284,FPT
2025-05-15,110000.0,110347.828125,107478.2578125,108695.6484375,10061767,FPT
2025-05-16,108260.8671875,108434.78125,105130.4375,105217.390625,9245113,FPT
2025-05-19,103304.3515625,104782.609375,101391.3046875,102782.609375,12657486,FPT
2025-05-20,101565.21875,103739.1328125,101565.21875,103652.171875,11224421,FPT
2025-05-21,104347.828125,104347.828125,101739.1328125,102869.5625,10316701,FPT
2025-05-22,101826.0859375,102260.8671875,100521.7421875,101565.21875,10036641,FPT
2025-05-23,101478.2578125,102434.78125,100869.5625,101826.0859375,7622512,FPT
2025-05-26,101478.2578125,102434.78125,100000.0,102000.0,5434440,FPT
2025-05-27,102086.953125,103826.0859375,102086.953125,103478.2578125,6633821,FPT
2025-05-28,103652.171875,103826.0859375,102173.9140625,102956.5234375,5731257,FPT
2025-05-29,103478.2578125,103478.2578125,101826.0859375,101826.0859375,3386905,FPT
2025-05-30,102608.6953125,102782.609375,101304.3515625,101304.3515625,4659574,FPT
2025-06-02,101304.3515625,101826.0859375,100521.7421875,100956.5234375,5275590,FPT
2025-06-03,101478.2578125,102608.6953125,101130.4375,102086.953125,6193132,FPT
2025-06-04,102608.6953125,102782.609375,101304.3515625,101826.0859375,8478216,FPT
2025-06-05,101826.0859375,102000.0,101304.3515625,101565.21875,5928478,FPT
2025-06-06,101565.21875,101565.21875,100000.0,100000.0,6567808,FPT
2025-06-09,100434.78125,101652.171875,100000.0,101043.4765625,5157222,FPT
2025-06-10,101739.1328125,102086.953125,100608.6953125,100608.6953125,4448154,FPT
2025-06-11,100956.5234375,102782.609375,100956.5234375,102521.7421875,7551413,FPT
2025-06-12,102260.8671875,102347.828125,101304.3515625,101739.1328125,4870751,FPT
2025-06-13,100869.5625,101304.3515625,99913.046875,100347.828125,7106645,FPT
2025-06-16,100086.953125,104173.9140625,100000.0,103478.2578125,9955806,FPT
2025-06-17,103478.2578125,103739.1328125,102782.609375,103304.3515625,6830028,FPT
2025-06-18,103304.3515625,103913.046875,101217.390625,101739.1328125,8806909,FPT
2025-06-19,101739.1328125,101826.0859375,100608.6953125,100869.5625,7751533,FPT
2025-06-20,100956.5234375,101652.171875,100695.6484375,100956.5234375,6447489,FPT
2025-06-23,100434.78125,101130.4375,99565.21875,100782.609375,6843685,FPT
2025-06-24,101130.4375,101739.1328125,101130.4375,101304.3515625,14906069,FPT
