Date,Open,High,Low,Close,Volume,Symbol
,MBB.VN,MBB.VN,MBB.VN,MBB.VN,MBB.VN,
2025-01-02,16567.8515625,16765.48046875,16501.9765625,16600.791015625,20435391,MBB
2025-01-03,16600.791015625,16600.791015625,16271.41015625,16271.41015625,17048065,MBB
2025-01-06,16271.41015625,16403.162109375,16073.78125,16073.78125,22976174,MBB
2025-01-07,16439.39453125,16439.39453125,16060.6064453125,16401.515625,19217048,MBB
2025-01-08,16250.0,16439.39453125,16250.0,16363.63671875,11109919,MBB
2025-01-09,16363.63671875,16439.39453125,16250.0,16287.87890625,9928160,MBB
2025-01-10,16250.0,16287.87890625,16022.7275390625,16022.7275390625,13748486,MBB
2025-01-13,16022.7275390625,16287.87890625,15871.2119140625,16287.87890625,11908455,MBB
2025-01-14,16212.12109375,16287.87890625,16022.7275390625,16136.36328125,10475547,MBB
2025-01-15,16250.0,16287.87890625,16136.36328125,16174.2421875,13091216,MBB
2025-01-16,16287.87890625,16363.63671875,16174.2421875,16212.12109375,13070409,MBB
2025-01-17,16287.87890625,16287.87890625,16174.2421875,16287.87890625,10514353,MBB
2025-01-20,16287.87890625,16628.787109375,16287.87890625,16553.03125,12440551,MBB
2025-01-21,16628.787109375,16704.544921875,16477.2734375,16553.03125,22180910,MBB
2025-01-22,16628.787109375,16628.787109375,16477.2734375,16515.15234375,10780611,MBB
2025-01-23,16590.908203125,16856.060546875,16515.15234375,16818.181640625,20116430,MBB
2025-01-24,16704.544921875,17007.576171875,16704.544921875,16969.697265625,13928864,MBB
2025-02-03,16704.544921875,16856.060546875,16628.787109375,16704.544921875,12977058,MBB
2025-02-04,16818.181640625,17121.212890625,16742.423828125,17007.576171875,16411956,MBB
2025-02-05,17045.455078125,17083.333984375,16893.939453125,17045.455078125,34550340,MBB
2025-02-06,17083.333984375,17386.36328125,17083.333984375,17121.212890625,14662454,MBB
2025-02-07,17196.96875,17424.2421875,16969.697265625,17234.84765625,18794041,MBB
2025-02-10,17196.96875,17613.63671875,17007.576171875,17348.484375,26214553,MBB
2025-02-11,17424.2421875,17424.2421875,17310.60546875,17424.2421875,10275286,MBB
2025-02-12,17424.2421875,17462.12109375,17196.96875,17196.96875,11036648,MBB
2025-02-13,17310.60546875,17348.484375,17121.212890625,17348.484375,9976697,MBB
2025-02-14,17424.2421875,17424.2421875,17272.7265625,17310.60546875,10987141,MBB
2025-02-17,17348.484375,17348.484375,17121.212890625,17159.091796875,12281349,MBB
2025-02-18,17159.091796875,17386.36328125,17121.212890625,17196.96875,16497505,MBB
2025-02-19,17272.7265625,17386.36328125,17196.96875,17310.60546875,13663201,MBB
2025-02-20,17424.2421875,17424.2421875,17310.60546875,17310.60546875,15340789,MBB
2025-02-21,17348.484375,17537.87890625,17272.7265625,17348.484375,27921194,MBB
2025-02-24,17272.7265625,17462.12109375,17272.7265625,17424.2421875,18135757,MBB
2025-02-25,17462.12109375,17840.908203125,17462.12109375,17727.2734375,51000061,MBB
2025-02-26,17803.03125,17840.908203125,17575.7578125,17575.7578125,11573643,MBB
2025-02-27,17575.7578125,17613.63671875,17386.36328125,17575.7578125,17894065,MBB
2025-02-28,17500.0,17537.87890625,17386.36328125,17424.2421875,16186909,MBB
2025-03-03,17424.2421875,17500.0,17386.36328125,17500.0,17450400,MBB
2025-03-04,17462.12109375,17878.787109375,17310.60546875,17727.2734375,45285253,MBB
