Date,Open,High,Low,Close,Volume,Symbol
,MSN.VN,MSN.VN,MSN.VN,MSN.VN,MSN.VN,
2025-01-02,70100.0,70900.0,70000.0,70800.0,2326400,MSN
2025-01-03,70800.0,70800.0,69600.0,69700.0,3301200,MSN
2025-01-06,69800.0,70200.0,67200.0,67200.0,5196900,MSN
2025-01-07,67300.0,68200.0,66500.0,66800.0,5835900,MSN
2025-01-08,66900.0,68000.0,66600.0,67700.0,3052900,MSN
2025-01-09,67800.0,68100.0,66800.0,67300.0,1886700,MSN
2025-01-10,67300.0,67400.0,65500.0,65500.0,2905200,MSN
2025-01-13,65400.0,65500.0,64400.0,65000.0,8590400,MSN
2025-01-14,65000.0,65300.0,63700.0,63700.0,5110600,MSN
2025-01-15,64500.0,66400.0,64000.0,65800.0,5668100,MSN
2025-01-16,66500.0,66500.0,65300.0,66300.0,3982700,MSN
2025-01-17,66300.0,66400.0,65700.0,65900.0,4095784,MSN
2025-01-20,66000.0,66300.0,65500.0,65500.0,2514200,MSN
2025-01-21,65600.0,66400.0,65400.0,65700.0,2714183,MSN
2025-01-22,65800.0,66200.0,65200.0,65200.0,2338800,MSN
2025-01-23,65300.0,66100.0,65200.0,65400.0,3685200,MSN
2025-01-24,65500.0,68000.0,65400.0,68000.0,8265300,MSN
2025-02-03,67800.0,68400.0,67000.0,68000.0,4360300,MSN
2025-02-04,68100.0,68800.0,68100.0,68600.0,4592000,MSN
2025-02-05,68700.0,68700.0,67300.0,67500.0,5228700,MSN
2025-02-06,67500.0,68100.0,67200.0,67400.0,2799000,MSN
2025-02-07,67700.0,68000.0,67200.0,67700.0,15540300,MSN
2025-02-10,67800.0,69700.0,67800.0,68800.0,6909800,MSN
2025-02-11,68800.0,68900.0,68100.0,68700.0,2435600,MSN
2025-02-12,68700.0,69100.0,68300.0,69000.0,2088500,MSN
2025-02-13,68800.0,69000.0,68300.0,68900.0,1824000,MSN
2025-02-14,69200.0,69400.0,67800.0,68100.0,4239400,MSN
2025-02-17,68100.0,68400.0,66200.0,66400.0,8957700,MSN
2025-02-18,66400.0,67200.0,66000.0,66400.0,3858400,MSN
2025-02-19,66600.0,67700.0,66600.0,67700.0,3261800,MSN
2025-02-20,68000.0,68000.0,67500.0,68000.0,3259400,MSN
2025-02-21,68000.0,68000.0,67200.0,67600.0,2315500,MSN
2025-02-24,67200.0,67700.0,66800.0,67600.0,10848600,MSN
2025-02-25,67800.0,68900.0,67800.0,68400.0,5119200,MSN
2025-02-26,68400.0,68600.0,68000.0,68300.0,2082800,MSN
2025-02-27,68500.0,69300.0,68200.0,68400.0,4565500,MSN
2025-02-28,68400.0,68500.0,67500.0,67700.0,3925400,MSN
2025-03-03,67800.0,68400.0,67700.0,68000.0,2758100,MSN
2025-03-04,68000.0,69100.0,67400.0,69100.0,6016400,MSN
2025-03-05,69300.0,70200.0,68200.0,68200.0,6252600,MSN
2025-03-06,68400.0,69200.0,68200.0,69200.0,4516500,MSN
