"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2026","1,901.10","1,895.50","1,906.64","1,869.63","646.16M","0.30%"
"05/11/2026","1,895.50","1,915.37","1,927.06","1,887.83","870.57M","-1.04%"
"05/08/2026","1,915.37","1,909.01","1,921.81","1,897.06","840.76M","0.33%"
"05/07/2026","1,909.01","1,891.20","1,924.95","1,891.03","852.20M","0.94%"
"05/06/2026","1,891.20","1,874.85","1,892.00","1,868.92","788.37M","0.87%"
"05/05/2026","1,874.85","1,854.06","1,875.97","1,838.14","701.96M","1.12%"
"05/04/2026","1,854.06","1,854.10","1,876.80","1,840.43","614.07M","0.00%"
"04/29/2026","1,854.10","1,875.84","1,888.80","1,838.56","626.25M","-1.16%"
"04/28/2026","1,875.84","1,853.29","1,887.69","1,848.98","577.91M","1.22%"
"04/24/2026","1,853.29","1,870.36","1,881.93","1,843.63","568.68M","-0.91%"
"04/23/2026","1,870.36","1,857.30","1,888.99","1,855.09","953.43M","0.70%"
"04/22/2026","1,857.30","1,833.48","1,861.34","1,819.21","562.38M","1.30%"
"04/21/2026","1,833.48","1,837.11","1,866.10","1,823.24","751.13M","-0.20%"
"04/20/2026","1,837.11","1,817.17","1,838.74","1,802.42","581.40M","1.10%"
"04/17/2026","1,817.17","1,819.83","1,846.19","1,812.24","632.35M","-0.15%"
"04/16/2026","1,819.83","1,800.65","1,824.03","1,795.42","819.39M","1.07%"
"04/15/2026","1,800.65","1,775.65","1,801.89","1,775.39","805.51M","1.41%"
"04/14/2026","1,775.65","1,758.96","1,784.43","1,750.67","774.46M","0.95%"
"04/13/2026","1,758.96","1,750.00","1,765.67","1,733.18","767.25M","0.51%"
"04/10/2026","1,750.00","1,736.68","1,762.84","1,736.68","855.52M","0.77%"
"04/09/2026","1,736.68","1,756.55","1,769.69","1,733.97","939.90M","-1.13%"
"04/08/2026","1,756.55","1,677.54","1,756.55","1,677.54","1.12B","4.71%"
"04/07/2026","1,677.54","1,674.99","1,690.31","1,665.36","514.78M","0.15%"
"04/06/2026","1,674.99","1,684.04","1,693.03","1,669.31","556.78M","-0.54%"
"04/03/2026","1,684.04","1,694.82","1,713.95","1,679.30","696.86M","-0.64%"
"04/02/2026","1,694.82","1,702.93","1,720.88","1,684.47","730.46M","-0.48%"
"04/01/2026","1,702.93","1,674.49","1,715.21","1,674.49","826.84M","1.70%"
"03/31/2026","1,674.49","1,662.54","1,677.83","1,662.05","787.84M","0.72%"
"03/30/2026","1,662.54","1,672.80","1,672.80","1,637.58","745.20M","-0.61%"
"03/27/2026","1,672.80","1,644.63","1,673.31","1,640.31","814.66M","1.71%"
"03/26/2026","1,644.63","1,658.19","1,677.52","1,634.55","641.31M","-0.82%"
"03/25/2026","1,658.19","1,614.77","1,658.77","1,614.77","796.96M","2.69%"
"03/24/2026","1,614.77","1,591.17","1,636.40","1,591.17","687.08M","1.48%"
"03/23/2026","1,591.17","1,647.81","1,647.81","1,582.26","986.02M","-3.44%"
"03/20/2026","1,647.81","1,699.13","1,700.01","1,628.45","856.45M","-3.02%"
"03/19/2026","1,699.13","1,713.83","1,713.83","1,675.32","821.69M","-0.86%"
"03/18/2026","1,713.83","1,710.29","1,742.87","1,690.08","699.76M","0.21%"
"03/17/2026","1,710.29","1,693.21","1,732.31","1,693.21","725.27M","1.01%"
"03/16/2026","1,693.21","1,696.24","1,707.00","1,680.70","746.31M","-0.18%"
"03/13/2026","1,696.24","1,709.61","1,716.75","1,688.21","877.88M","-0.78%"
"03/12/2026","1,709.61","1,728.34","1,737.70","1,701.59","857.92M","-1.08%"
"03/11/2026","1,728.34","1,676.73","1,729.67","1,673.57","896.28M","3.08%"
"03/10/2026","1,676.73","1,652.79","1,716.62","1,631.74","1.34B","1.45%"
"03/09/2026","1,652.79","1,767.84","1,767.84","1,650.74","1.28B","-6.51%"
"03/06/2026","1,767.84","1,808.51","1,808.51","1,766.67","952.77M","-2.25%"
"03/05/2026","1,808.51","1,818.27","1,851.60","1,806.28","1.10B","-0.54%"
"03/04/2026","1,818.27","1,813.14","1,833.33","1,766.86","1.48B","0.28%"
"03/03/2026","1,813.14","1,846.10","1,854.28","1,808.55","1.22B","-1.79%"
"03/02/2026","1,846.10","1,880.33","1,885.18","1,801.54","1.42B","-1.82%"
"02/27/2026","1,880.33","1,879.64","1,899.44","1,863.36","858.21M","0.04%"
"02/26/2026","1,879.64","1,860.91","1,882.17","1,859.04","753.93M","1.01%"
"02/25/2026","1,860.91","1,867.62","1,876.01","1,855.99","1.08B","-0.36%"
"02/24/2026","1,867.62","1,860.14","1,867.66","1,849.60","967.87M","0.40%"
"02/23/2026","1,860.14","1,824.09","1,863.13","1,824.09","732.21M","1.98%"
"02/13/2026","1,824.09","1,814.09","1,824.09","1,792.91","576.39M","0.55%"
"02/12/2026","1,814.09","1,796.85","1,816.11","1,796.85","451.67M","0.96%"
"02/11/2026","1,796.85","1,754.03","1,799.92","1,754.03","808.85M","2.44%"
"02/10/2026","1,754.03","1,754.82","1,776.24","1,741.37","719.68M","-0.05%"
"02/09/2026","1,754.82","1,755.49","1,771.73","1,749.87","517.58M","-0.04%"
"02/06/2026","1,755.49","1,782.56","1,782.56","1,750.89","997.37M","-1.52%"
"02/05/2026","1,782.56","1,791.43","1,800.10","1,782.18","703.27M","-0.50%"
"02/04/2026","1,791.43","1,813.40","1,821.61","1,780.71","969.82M","-1.21%"
"02/03/2026","1,813.40","1,806.50","1,827.22","1,797.49","916.90M","0.38%"
"02/02/2026","1,806.50","1,829.04","1,834.94","1,777.85","888.37M","-1.23%"
"01/30/2026","1,829.04","1,814.98","1,831.97","1,803.72","827.04M","0.77%"
"01/29/2026","1,814.98","1,802.91","1,814.98","1,789.26","657.11M","0.67%"
"01/28/2026","1,802.91","1,830.50","1,842.61","1,793.13","863.40M","-1.51%"
"01/27/2026","1,830.50","1,843.72","1,845.70","1,821.79","752.07M","-0.72%"
"01/26/2026","1,843.72","1,870.79","1,880.60","1,833.21","998.24M","-1.45%"
"01/23/2026","1,870.79","1,882.73","1,898.83","1,866.72","841.05M","-0.63%"
"01/22/2026","1,882.73","1,885.44","1,904.56","1,870.22","945.70M","-0.14%"
"01/21/2026","1,885.44","1,893.78","1,894.22","1,859.25","1.13B","-0.44%"
"01/20/2026","1,893.78","1,896.59","1,915.11","1,884.60","987.97M","-0.15%"
"01/19/2026","1,896.59","1,879.13","1,898.24","1,874.69","832.52M","0.93%"
"01/16/2026","1,879.13","1,864.80","1,901.22","1,858.44","980.96M","0.77%"
"01/15/2026","1,864.80","1,894.44","1,896.24","1,845.95","1.20B","-1.56%"
"01/14/2026","1,894.44","1,902.93","1,918.46","1,870.87","1.34B","-0.45%"
"01/13/2026","1,902.93","1,877.33","1,910.69","1,871.79","1.29B","1.36%"
"01/12/2026","1,877.33","1,867.90","1,887.92","1,862.13","1.32B","0.50%"
"01/09/2026","1,867.90","1,855.56","1,880.16","1,853.16","1.22B","0.67%"
"01/08/2026","1,855.56","1,861.58","1,888.33","1,850.11","1.17B","-0.32%"
"01/07/2026","1,861.58","1,816.27","1,861.58","1,816.27","929.08M","2.49%"
"01/06/2026","1,816.27","1,788.40","1,817.06","1,788.40","838.99M","1.56%"
"01/05/2026","1,788.40","1,784.49","1,797.40","1,775.19","810.90M","0.22%"
"12/31/2025","1,784.49","1,766.90","1,787.75","1,755.58","592.84M","1.00%"
"12/30/2025","1,766.90","1,754.84","1,766.90","1,740.07","554.60M","0.69%"
"12/29/2025","1,754.84","1,729.80","1,754.84","1,729.80","513.33M","1.45%"
